Date,Car,Year,Price,Mileage,Location,URL
05/03/21,Mazda MX-5 Miata AUTOMATIC GRAND TOURING POWER TOP...,2008,"$15,900",N/A,"Nashville, TN, USA(420 mi. from 60004)",https://www.ebay.com/itm/254821389410?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Free shipping Carfax certified No...,2016,"$20,988",N/A,"Hollywood, FL, USA(1200 mi. from 60004)",https://www.ebay.com/itm/144028317692?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Club Convertible 2D 4-Cyl 2.0 Liter...,2014,"$20,590",N/A,"Tempe, AZ, USA(1435 mi. from 60004)",https://www.ebay.com/itm/203437582495?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Grand Touring Convertible 2D 4-Cyl...,2011,"$13,990",N/A,"Tempe, AZ, USA(1435 mi. from 60004)",https://www.ebay.com/itm/203437555659?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Grand Touring Convertible 2D 4-Cyl...,2012,"$19,990",N/A,"Tempe, AZ, USA(1435 mi. from 60004)",https://www.ebay.com/itm/203437486244?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Club Convertible 2D 4-Cyl 2.0 Liter...,2017,"$23,590",N/A,"Tempe, AZ, USA(1435 mi. from 60004)",https://www.ebay.com/itm/203437485937?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Grand Touring Convertible 2D 4-Cyl...,2019,"$31,590",N/A,"Winder, GA, USA(610 mi. from 60004)",https://www.ebay.com/itm/203437291235?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Grand Touring IATA GRAND...,2015,N/A,N/A,"Mooresville, NC, USA(595 mi. from 60004)",https://www.ebay.com/itm/133748954356?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Grand Touring Convertible 2D 4-Cyl...,2020,"$31,990",N/A,"Tempe, AZ, USA(1435 mi. from 60004)",https://www.ebay.com/itm/203431328328?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Mazdaspeed azdaspeed Miata MX-5,2005,N/A,N/A,"Palm Springs, CA, USA(1650 mi. from 60004)",https://www.ebay.com/itm/265143093537?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Club Convertible 2D 4-Cyl SKYACTIV-G...,2020,"$31,590",N/A,"Tempe, AZ, USA(1435 mi. from 60004)",https://www.ebay.com/itm/203425273835?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Grand Touring Convertible 2D 4-Cyl...,2016,"$19,590",N/A,"Haines City, FL, USA(1035 mi. from 60004)",https://www.ebay.com/itm/203425224140?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata  Mazdaspeed Miata Triple Black -...,2005,"$14,900",N/A,"Boise, ID, USA(1430 mi. from 60004)",https://www.ebay.com/itm/203422939753?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata  with a Garrett Turbo and many drift...,2008,N/A,N/A,"Highland, MD, USA(615 mi. from 60004)",https://www.ebay.com/itm/284278399370?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata  Convertible Grey RWD Automatic,2006,N/A,N/A,"Egg Harbor City, NJ, USA(720 mi. from 60004)",https://www.ebay.com/itm/233989900849?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Grand Touring RF Grand Touring RED ...,2017,N/A,N/A,"Pensacola, FL, USA(810 mi. from 60004)",https://www.ebay.com/itm/393281903768?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Sport Convertible RWD Off Lease Only...,2021,"$29,999",N/A,"Orlando, FL, USA(1015 mi. from 60004)",https://www.ebay.com/itm/303979449687?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata 2 Door Convertible with 27K Miles X-5...,1990,"$19,990",N/A,"Sarasota, FL, USA(1075 mi. from 60004)",https://www.ebay.com/itm/373560925244?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Grand Touring Black Mazda MX-5 Miata...,2018,"$28,202",N/A,"Powell, WY, USA(1060 mi. from 60004)",https://www.ebay.com/itm/174750185419?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda Miata  1.8 Liter 4-Cylinder/5-Speed Manual/New...,1994,N/A,N/A,"Morgantown, PA, USA(645 mi. from 60004)",https://www.ebay.com/itm/124701084881?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Club Machine Gray Mazda MX-5 Miata...,2018,"$26,901",N/A,"Powell, WY, USA(1060 mi. from 60004)",https://www.ebay.com/itm/174748993435?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Base 2dr Convertible,1999,"$6,990",N/A,"New Milford, CT, USA(750 mi. from 60004)",https://www.ebay.com/itm/284271222598?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
