Date,Car,Year,Price,Mileage,Location,URL
03/10/21,Lexus IS 350 F Sport,2018,"$37,517","25,508 mi.","San Antonio, TX(1052 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBZ1D23J5031763/?referrer_id=autotempest
03/10/21,Lexus IS 350 F Sport,2018,"$36,590","15,455 mi.","Baton Rouge, LA(824 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBZ1D27J5031684/?referrer_id=autotempest
03/10/21,Lexus IS 350 F Sport,2017,"$31,591","13,319 mi.","Henderson, NV(1504 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D25H5028692/?referrer_id=autotempest
03/10/21,Lexus IS 350 F Sport,2017,"$28,883","52,139 mi.","Culver City, CA(1735 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D20H5031483/?referrer_id=autotempest
03/10/21,Lexus IS 350 F Sport,2018,"$38,991","34,860 mi.","Scottsdale, AZ(1421 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBZ1D23J5031617/?referrer_id=autotempest
03/10/21,Lexus IS 350 F Sport,2017,"$23,966","57,782 mi.","Arlington, VA(613 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHCE1D27H5013096/?referrer_id=autotempest
03/10/21,Lexus IS 350 F Sport,2018,"$35,987","28,267 mi.","Viera, FL(1053 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBZ1D26J5031823/?referrer_id=autotempest
03/10/21,Lexus IS 350 F Sport,2018,"$35,641","32,421 mi.","Owings Mills, MD(614 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHCZ1D2XJ5015466/?referrer_id=autotempest
03/10/21,Lexus IS 350 F Sport,2020,"$39,980","9,599 mi.","Buena Park, CA(1720 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1B26L5036189/?referrer_id=autotempest
03/10/21,Lexus IS 350 F Sport,2020,"$43,388","6,913 mi.","Sarasota, FL(1065 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1B29L5035974/?referrer_id=autotempest
03/10/21,Lexus IS 350 F Sport,2020,N/A,"9,327 mi.","Towson, MD(623 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1E2XL5017849/?referrer_id=autotempest
03/10/21,Lexus IS 350 F Sport,2020,N/A,"4,700 mi.","Pembroke Pines, FL(1196 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1B25L5036135/?referrer_id=autotempest
03/10/21,Lexus IS 350 F Sport,2017,"$25,837","65,597 mi.","Riverside, CA(1689 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D2XH5028705/?referrer_id=autotempest
03/10/21,Lexus IS 350 F Sport,2017,"$32,978","28,681 mi.","Tampa, FL(1025 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D22H5029864/?referrer_id=autotempest
03/10/21,Lexus IS 350 F Sport,2017,"$33,998","6,474 mi.","Concord, NC(610 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D29H5030087/?referrer_id=autotempest
03/10/21,Lexus IS 350 F Sport,2017,"$29,999","34,565 mi.","West Palm Beach, FL(1150 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D2XH5029630/?referrer_id=autotempest
03/10/21,Lexus IS 350 F Sport,2017,"$36,998","11,802 mi.","Winston-Salem, NC(586 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D27H5029102/?referrer_id=autotempest
03/10/21,Lexus IS 350 F Sport,2017,"$31,388","30,438 mi.","North Miami, FL(1211 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D24H5031468/?referrer_id=autotempest
03/10/21,Lexus IS 350 F Sport,2017,"$32,495","36,880 mi.","San Antonio, TX(1052 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D27H5028919/?referrer_id=autotempest
