Date,Car,Year,Price,Mileage,Location,URL
04/04/21,INFINITI Q60 3.0t Red Sport 400,2018,"$39,991","18,825 mi.","Memphis, TN(495 mi. from 60004)",https://www.cars.com/vehicledetail/detail/842590340/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2017,"$30,998","72,234 mi.","Bristol, TN(491 mi. from 60004)",https://www.cars.com/vehicledetail/detail/841842009/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2017,"$37,665","25,502 mi.","Alexandria, KY(287 mi. from 60004)",https://www.cars.com/vehicledetail/detail/841940324/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2018,"$42,990","25,129 mi.","Golden Valley, MN(331 mi. from 60004)",https://www.cars.com/vehicledetail/detail/841677834/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2018,"$42,300","3,504 mi.","Cincinnati, OH(276 mi. from 60004)",https://www.cars.com/vehicledetail/detail/841675512/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2017,"$35,427","17,608 mi.","Johnson City, TN(499 mi. from 60004)",https://www.cars.com/vehicledetail/detail/841697947/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2020,N/A,"32,353 mi.","Henderson, KY(295 mi. from 60004)",https://www.cars.com/vehicledetail/detail/841486576/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2017,"$38,990","26,999 mi.","Centerville, OH(255 mi. from 60004)",https://www.cars.com/vehicledetail/detail/841474663/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2017,"$31,538","61,869 mi.","St Louis, MO(267 mi. from 60004)",https://www.cars.com/vehicledetail/detail/841109964/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2019,"$46,607","8,686 mi.","Fort Wright, KY(277 mi. from 60004)",https://www.cars.com/vehicledetail/detail/840246916/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2018,"$37,290","13,468 mi.","Springfield, OH(265 mi. from 60004)",https://www.cars.com/vehicledetail/detail/840824720/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2018,"$37,540","32,655 mi.","Bedford, OH(336 mi. from 60004)",https://www.cars.com/vehicledetail/detail/840612976/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2018,"$45,990","12,659 mi.","Bloomington, MN(331 mi. from 60004)",https://www.cars.com/vehicledetail/detail/840224076/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2020,"$45,609","25,741 mi.","Louisville, KY(292 mi. from 60004)",https://www.cars.com/vehicledetail/detail/839009074/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2017,"$34,880","25,218 mi.","Maplewood, MN(323 mi. from 60004)",https://www.cars.com/vehicledetail/detail/838071856/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2019,"$39,980","19,519 mi.","Morristown, TN(478 mi. from 60004)",https://www.cars.com/vehicledetail/detail/838038748/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2019,"$41,790","9,713 mi.","Springfield, MO(440 mi. from 60004)",https://www.cars.com/vehicledetail/detail/837518420/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2017,"$30,423","51,110 mi.","Bedford, OH(336 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836903005/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2019,"$42,988","25,038 mi.","Lexington, KY(336 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836196317/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2017,"$33,999","31,741 mi.","Monroeville, PA(442 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836119364/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2019,"$42,999","13,671 mi.","Indianapolis, IN(187 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834875714/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2019,"$44,998","12,271 mi.","Jackson, MI(184 mi. from 60004)",https://www.cars.com/vehicledetail/detail/823724103/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,INFINITI Q60 3.0t Red Sport 400,2019,"$43,992","4,800 mi.","Harrison, AR(489 mi. from 60004)",https://www.cars.com/vehicledetail/detail/822963378/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
04/04/21,Infiniti Q60 Red Sport 400,2017,"$34,828","25,051 mi.","Mckinney, TX(775 mi. from 60004)",/vehicle/carsoup/2986/JN1FV7EK9HM611280-2986
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$39,377","21,181 mi.","Barrington, IL(8 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL6JM630142/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$38,798","33,344 mi.","Naperville, IL(24 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL8JM631129/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2017,"$34,659","23,805 mi.","Libertyville, IL(13 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL6HM701219/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2017,N/A,"60,622 mi.","Chicago, IL(21 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL2HM700889/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2019,"$37,600","44,986 mi.","Matteson, IL(42 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL7KM440089/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2020,"$45,609","25,741 mi.","Louisville, KY(292 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL4LM460317/?referrer_id=autotempest
